Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2019-07-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-07-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-08-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-09-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-10-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-11-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2019-12-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-01-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-02-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-03-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-04-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-05-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-06-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-07-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-08-31,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-09-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-07,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-08,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-14,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-15,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-21,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-22,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-28,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-29,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-10-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-02,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-03,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-04,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-05,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-06,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-09,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-10,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-11,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-12,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-13,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-16,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-17,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-18,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-19,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-20,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-23,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-24,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-25,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-26,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-27,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-11-30,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
2020-12-01,10000,10000,10000,10000,0,PX1,0.0,10000.0,10000.0
